Episode,Wait Time,Service Time,Energy Usage,Total Reward,Correct Drop-Offs
1,25950.0,0.0,1208,337753.09999999276,266
2,25860.0,2910.0,1210,58675.949999996636,259
3,25860.0,0.0,1236,226474.90000000823,269
4,25860.0,1955.0,1200,976399.3000000033,260
5,25950.0,100.0,1190,-418759.1999999997,263
6,25860.0,310.0,1197,916276.7499999903,262
7,25860.0,1045.0,1163,316537.99999999953,264
8,25860.0,975.0,1194,115259.89999999525,263
9,25950.0,3375.0,1192,-40449.79999998704,258
10,25950.0,1165.0,1246,-517294.74999999005,261
11,25860.0,275.0,1203,1759190.699999984,264
12,25860.0,290.0,1262,-473676.29999999976,264
13,25950.0,195.0,1213,-326391.79999999795,264
14,25860.0,2190.0,1227,477281.09999999695,260
15,25860.0,90.0,1227,769561.2499999868,268
16,25860.0,895.0,1206,255116.55000000325,263
17,25950.0,1625.0,1220,-210178.8499999943,257
18,25860.0,580.0,1183,278451.85000000155,262
19,25950.0,110.0,1192,-437103.6499999896,265
20,25980.0,370.0,1219,1202920.599999989,265
21,25980.0,1260.0,1187,198029.25000000722,257
22,25860.0,2595.0,1238,-775897.3999999941,259
23,25860.0,580.0,1241,621679.9999999979,266
24,25860.0,505.0,1253,-216169.49999999476,267
25,25860.0,30.0,1227,-733543.7500000005,266
26,25950.0,35.0,1239,772406.2999999938,265
27,25950.0,210.0,1237,738733.600000003,265
28,25860.0,175.0,1247,-430702.59999999066,263
29,26190.0,445.0,1204,-794350.1499999912,262
30,25980.0,780.0,1234,-11037.949999998033,264
31,25950.0,270.0,1183,1242670.6999999974,264
32,25950.0,1430.0,1172,130453.50000000314,260
33,25980.0,865.0,1189,-199018.0500000046,260
34,25860.0,45.0,1212,983572.3500000038,268
35,27090.0,4015.0,1231,92910.65000000723,254
36,25950.0,2425.0,1182,888538.849999993,261
37,25950.0,120.0,1222,-901347.9999999992,265
38,25860.0,645.0,1178,-408025.399999998,261
39,25950.0,460.0,1230,907678.8000000006,263
40,25950.0,870.0,1239,683314.300000004,262
41,25860.0,0.0,1188,82022.9500000024,269
42,25950.0,80.0,1277,-734503.2499999976,264
43,25950.0,110.0,1225,-300840.29999999143,265
44,25860.0,110.0,1194,-242226.64999999962,265
45,25980.0,860.0,1231,42149.8000000068,259
46,25950.0,110.0,1193,172089.1999999987,265
47,25860.0,465.0,1273,-170355.79999999335,264
48,25860.0,485.0,1193,-584891.6499999912,262
49,25860.0,345.0,1211,-218420.49999999377,266
50,25860.0,340.0,1249,141119.9500000059,263
51,25950.0,845.0,1176,33738.74999999866,262
52,26070.0,230.0,1199,832120.4499999874,263
53,25860.0,0.0,1161,-27704.849999999395,269
54,25860.0,535.0,1247,94585.25000000658,263
55,25860.0,835.0,1175,-286270.94999999687,264
56,25860.0,100.0,1138,748887.2999999892,265
57,25860.0,2540.0,1208,-467544.04999999533,265
58,25860.0,130.0,1227,1514779.2499999828,265
59,26670.0,245.0,1166,472134.2499999823,262
60,25860.0,845.0,1240,543126.2999999973,263
61,26070.0,870.0,1196,-1024844.0999999931,261
62,25860.0,790.0,1253,-408340.6499999931,263
63,26070.0,110.0,1170,-211187.34999999337,263
64,25950.0,345.0,1167,932878.2499999998,262
65,25950.0,1000.0,1235,424128.7500000065,262
66,25860.0,0.0,1194,-100457.950000001,269
67,25860.0,0.0,1249,-22289.900000010355,269
68,27030.0,2560.0,1156,566159.7499999991,254
69,25860.0,420.0,1247,-776023.5999999954,267
70,25980.0,435.0,1251,32892.650000003996,262
71,25860.0,1630.0,1215,-24264.949999993056,262
72,25860.0,420.0,1173,829496.3499999787,266
73,25950.0,165.0,1195,-123865.95000000251,263
74,25860.0,0.0,1139,-498861.70000000304,269
75,26670.0,115.0,1204,236140.7000000039,263
76,25950.0,2045.0,1194,1201909.1999999858,260
77,25980.0,500.0,1197,273047.74999999965,260
78,25860.0,390.0,1195,-87086.94999999844,262
79,25950.0,305.0,1214,-485137.7999999881,264
80,25860.0,3685.0,1214,274520.2000000073,256
81,25860.0,1845.0,1187,186133.10000000606,265
82,25860.0,610.0,1175,305356.7500000009,265
83,25860.0,1375.0,1195,-386039.9499999947,256
84,25860.0,50.0,1192,-194110.49999999843,268
85,25860.0,95.0,1228,271104.2499999977,265
86,25860.0,705.0,1155,135344.0500000044,266
87,25950.0,1970.0,1175,-332474.9499999932,261
88,25860.0,0.0,1264,359301.55000000534,269
89,25950.0,435.0,1216,22902.049999999348,261
90,25950.0,120.0,1216,560171.8999999999,265
91,25860.0,780.0,1165,527872.2500000008,261
92,25860.0,5005.0,1225,1838802.5499999917,255
93,25950.0,1600.0,1139,834029.4499999942,259
94,25860.0,630.0,1203,-305417.1499999983,262
95,25950.0,6005.0,1205,1443927.5499999982,254
96,25950.0,320.0,1173,776293.200000004,264
97,25950.0,2570.0,1184,2363083.399999976,259
98,25860.0,10.0,1223,-836839.1499999978,267
99,26610.0,500.0,1192,1452468.3499999843,262
100,25860.0,785.0,1190,2107460.9499999764,260
101,25950.0,3540.0,1268,104208.1000000036,258
102,25860.0,370.0,1180,-115823.85000000219,263
103,25860.0,1520.0,1247,-123633.90000000177,261
104,25980.0,160.0,1177,847101.7499999937,265
